topic,word,frequency
19,period,0.009949455
19,early,0.009747802
19,interesting,0.00931334
19,year,0.008510191
19,detail,0.008269689
19,event,0.00825902
19,first,0.007957982
19,account,0.00777926
19,american,0.00746281
19,culture,0.0071214736
19,give,0.0069018984
19,world,0.006554027
19,much,0.0063747554
19,military,0.0062945355
19,interested,0.005939188
19,people,0.0059096757
19,include,0.0056101736
19,read,0.0054280655
19,era,0.005098692
20,political,0.016272139
20,state,0.012744938
20,law,0.011915005
20,government,0.010719132
20,social,0.010029846
20,right,0.0098765865
20,economic,0.009709381
20,power,0.008428924
20,public,0.008180673
20,make,0.00703793
20,system,0.006727554
20,policy,0.006308607
20,country,0.0060479543
20,issue,0.0059446604
20,society,0.00548823
20,politic,0.005331343
20,nation,0.005111027
20,new,0.005075139
20,movement,0.0049927686
20,class,0.0047715534
20,world,0.004675747
20,people,0.004671108
20,argument,0.0046707746
20,support,0.004482947
20,leader,0.0044297916
20,international,0.004401534
20,american,0.0042974576
20,party,0.004235194
20,free,0.004197466
20,argue,0.0039761085
21,study,0.023114797
21,author,0.01608907
21,read,0.015859464
21,research,0.015235127
21,theory,0.015100427
21,work,0.014511893
21,well,0.014258947
21,student,0.013757555
21,subject,0.012227936
21,write,0.011886434
21,reader,0.0112725105
21,text,0.011013902
21,field,0.009904498
21,science,0.009867646
21,recommend,0.0096432185
21,article,0.009464513
21,provide,0.009181975
21,analysis,0.0091027245
21,issue,0.007831588
21,topic,0.007726307
21,interested,0.0073538315
21,present,0.0072976467
21,approach,0.0070583043
21,highly,0.00689117
21,many,0.0067060944
21,understand,0.0065434794
21,find,0.00621782
21,excellent,0.005913858
21,scientific,0.005824293
21,discussion,0.0056769797
22,land,0.031804513
22,mountain,0.02275427
22,native,0.022039158
22,prison,0.017883541
22,farm,0.016260643
22,winter,0.014632965
22,thriller,0.013566006
22,uncle,0.012186162
22,tribe,0.011780721
22,railroad,0.011555006
22,farmer,0.011445479
22,wine,0.011329088
22,massive,0.011322131
22,sky,0.01083111
22,wilderness,0.009439734
22,heat,0.00892966
22,cure,0.008776352
22,route,0.008502729
22,pressure,0.008312027
22,iron,0.008220988
22,fi,0.008164284
22,hill,0.007621167
22,frontier,0.0073770015
22,asian,0.007019724
22,water,0.0069731497
22,fuel,0.0067644487
22,silver,0.0066966894
22,korean,0.006639323
22,truck,0.0062627
22,martial,0.0059804856
23,read,0.03090862
23,get,0.024433851
23,good,0.020146305
23,think,0.01707021
23,make,0.016449878
23,go,0.016244026
23,know,0.01567393
23,really,0.014596873
23,say,0.014444615
23,time,0.0138333095
23,thing,0.013519474
23,well,0.011678893
23,want,0.011551121
23,much,0.011092168
23,even,0.010705498
23,find,0.0099771
23,way,0.00984222
23,see,0.0098096505
23,give,0.009790803
23,write,0.009367133
23,look,0.008541049
23,people,0.008366564
23,lot,0.007927311
23,take,0.00785529
23,little,0.0077175493
23,author,0.0075179925
23,great,0.0069315145
23,first,0.0067115226
23,come,0.0066392845
23,many,0.006621735
24,life,0.046388198
24,read,0.031393137
24,love,0.019939383
24,live,0.016384142
24,time,0.014808641
24,story,0.014556126
24,write,0.012962681
24,year,0.012503889
24,many,0.011437756
24,people,0.01115641
24,great,0.010709992
24,know,0.010184496
24,find,0.009628023
24,feel,0.009123914
24,man,0.008975386
24,make,0.008954812
24,way,0.008847824
24,give,0.008707341
24,experience,0.008640632
24,come,0.007760863
24,heart,0.0076969694
24,family,0.0076915263
24,day,0.0072911563
24,world,0.0072845304
24,tell,0.0070148325
24,author,0.0068251933
24,bring,0.0065286043
24,woman,0.006471593
24,friend,0.0063824365
24,wonderful,0.0060303956
